iter	RMSE
0	1097.651536
1	1093.580475
2	1089.733102
3	1086.145
4	1082.687206
5	1079.44188
6	1076.356551
7	1073.448941
8	1070.694911
9	1068.105189
10	1065.634386
11	1063.316257
12	1061.109252
13	1059.045655
14	1057.097186
15	1055.238631
16	1053.476797
17	1051.800463
18	1050.169295
19	1048.648868
20	1047.199973
21	1045.824311
22	1044.53874
23	1043.315086
24	1042.15232
25	1041.065866
26	1039.991131
27	1038.996697
28	1038.06988
29	1037.155372
30	1036.308609
31	1035.497727
32	1034.748092
33	1033.991262
34	1033.275627
35	1032.582605
36	1031.944132
37	1031.325085
38	1030.728415
39	1030.193629
40	1029.670319
41	1029.168666
42	1028.669726
43	1028.211393
44	1027.763551
45	1027.320981
46	1026.895816
47	1026.521367
48	1026.164965
49	1025.767076
50	1025.410764
51	1025.096049
52	1024.766147
53	1024.434941
54	1024.157116
55	1023.876147
56	1023.59472
57	1023.307939
58	1023.059571
59	1022.817469
60	1022.585385
61	1022.343925
62	1022.121394
63	1021.918774
64	1021.724564
65	1021.502574
66	1021.297974
67	1021.095362
68	1020.909887
69	1020.726639
70	1020.548325
71	1020.355604
72	1020.186173
73	1020.037412
74	1019.878264
75	1019.740368
76	1019.597079
77	1019.468566
78	1019.317187
79	1019.185462
80	1019.072793
81	1018.959233
82	1018.797466
83	1018.668751
84	1018.547929
85	1018.435846
86	1018.329576
87	1018.197475
88	1018.083811
89	1017.986644
90	1017.876279
91	1017.783847
92	1017.694339
93	1017.57951
94	1017.484119
95	1017.360957
96	1017.246729
97	1017.157426
98	1017.067802
99	1016.95716
