iter	Passed	Remaining
0	236	23439
1	475	23285
2	766	24789
3	998	23975
4	1225	23275
5	1451	22737
6	1674	22252
7	1904	21904
8	2135	21587
9	2354	21192
10	2579	20872
11	2793	20488
12	3014	20174
13	3239	19898
14	3475	19693
15	3706	19457
16	3970	19387
17	4225	19249
18	4470	19057
19	4717	18871
20	4966	18682
21	5229	18540
22	5506	18433
23	5785	18321
24	6048	18146
25	6299	17929
26	6577	17783
27	6822	17542
28	7073	17316
29	7315	17068
30	7543	16791
31	7775	16523
32	7998	16239
33	8229	15975
34	8458	15708
35	8689	15448
36	8926	15198
37	9159	14943
38	9382	14675
39	9602	14404
40	9851	14176
41	10088	13931
42	10316	13675
43	10548	13425
44	10783	13179
45	11014	12930
46	11243	12678
47	11476	12432
48	11702	12179
49	11973	11973
50	12222	11743
51	12506	11544
52	12739	11296
53	12971	11049
54	13193	10794
55	13479	10591
56	13758	10378
57	13998	10136
58	14282	9924
59	14516	9677
60	14764	9439
61	15012	9201
62	15256	8960
63	15505	8721
64	15831	8524
65	16080	8283
66	16338	8047
67	16590	7807
68	16924	7603
69	17187	7366
70	17419	7115
71	17647	6862
72	17907	6623
73	18190	6391
74	18447	6149
75	18724	5912
76	18982	5670
77	19277	5437
78	19520	5188
79	19781	4945
80	20073	4708
81	20369	4471
82	20627	4224
83	20886	3978
84	21147	3731
85	21443	3490
86	21747	3249
87	22073	3010
88	22342	2761
89	22644	2516
90	22926	2267
91	23235	2020
92	23516	1770
93	23768	1517
94	24043	1265
95	24347	1014
96	24617	761
97	24901	508
98	25163	254
99	25458	0
